timestamp,datetime,humidity,pressure,pump_time,soil_moisture,temperature
839450807,2026-08-07 22:46:47,57.26,1016.71,0.00,116.84,18.33
839451707,2026-08-07 23:01:47,57.98,1016.79,0.00,116.84,18.08
839452607,2026-08-07 23:16:47,58.25,1016.76,0.00,116.98,17.91
839453507,2026-08-07 23:31:47,58.31,1016.75,0.00,116.43,17.87
839454407,2026-08-07 23:46:47,59.82,1016.81,0.00,117.25,17.34
839455307,2026-08-08 00:01:47,59.87,1016.82,0.00,116.84,17.21
839456207,2026-08-08 00:16:47,60.16,1016.89,0.00,117.39,17.13
839457107,2026-08-08 00:31:47,61.02,1016.92,0.00,117.11,16.79
839458007,2026-08-08 00:46:47,61.10,1017.02,0.00,117.53,16.70
839458907,2026-08-08 01:01:47,61.93,1017.06,0.00,116.70,16.45
839459807,2026-08-08 01:16:47,62.64,1017.10,0.00,117.11,16.26
839460707,2026-08-08 01:31:47,62.46,1017.05,0.00,116.84,16.28
839461607,2026-08-08 01:46:47,62.18,1016.96,0.00,116.43,16.29
839462507,2026-08-08 02:01:47,62.81,1016.96,0.00,116.84,16.03
839463407,2026-08-08 02:16:47,62.87,1016.86,0.00,117.11,15.97
839464307,2026-08-08 02:31:47,62.95,1016.85,0.00,117.11,15.80
839465207,2026-08-08 02:46:47,63.37,1016.91,0.00,116.43,15.49
839466107,2026-08-08 03:01:47,63.77,1016.93,0.00,116.98,15.45
839467007,2026-08-08 03:16:47,64.32,1016.75,0.00,116.84,15.24
839467907,2026-08-08 03:31:47,64.54,1016.64,0.00,116.56,15.09
839468807,2026-08-08 03:46:47,64.30,1016.49,0.00,116.84,15.02
839469707,2026-08-08 04:01:47,64.41,1016.62,0.00,117.25,14.90
839470607,2026-08-08 04:16:47,64.97,1016.67,0.00,116.84,14.45
839471507,2026-08-08 04:31:47,65.04,1016.71,0.00,116.98,14.61
839472407,2026-08-08 04:46:47,64.50,1016.59,0.00,116.98,14.50
839473307,2026-08-08 05:01:47,65.21,1016.49,0.00,117.25,14.32
839474207,2026-08-08 05:16:47,65.54,1016.55,0.00,117.25,14.14
839475107,2026-08-08 05:31:47,65.03,1016.53,0.00,116.70,14.03
839476007,2026-08-08 05:46:47,65.07,1016.57,0.00,116.84,13.89
839476907,2026-08-08 06:01:47,65.45,1016.59,0.00,118.66,13.77
839477807,2026-08-08 06:16:47,65.06,1016.59,0.00,116.43,13.77
839478707,2026-08-08 06:31:47,66.28,1016.77,0.00,116.56,13.62
839479607,2026-08-08 06:46:47,66.01,1016.85,0.00,116.56,13.81
839480507,2026-08-08 07:01:47,68.65,1016.78,0.00,116.56,13.92
839481407,2026-08-08 07:16:47,69.79,1016.70,0.00,116.56,14.15
839482307,2026-08-08 07:31:47,70.21,1016.80,0.00,116.84,14.44
